상권코드명,총유동인구수,남성유동인구수,여성유동인구수,연령대10유동인구수,연령대20유동인구수,연령대30유동인구수,연령대40유동인구수,연령대50유동인구수,연령대60이상유동인구수
청두곶길,13240,6044,7196,306,3582,3310,1790,1946,2306
청룡3길,65030,33692,31338,3109,27548,12294,7273,7514,7292
청룡4길,163089,82671,80419,7033,49292,30705,23108,26053,26898
청룡7길,112554,58444,54110,4779,48930,21764,12227,12595,12259
청룡8길,93836,48319,45518,4105,28765,17177,13747,15318,14726
청룡길,77376,39665,37711,3820,28773,14313,10169,10465,9836
청룡중앙길,41507,21273,20233,2833,16533,7372,5449,4983,4336
청림2길,52667,24424,28243,3975,9651,10953,9095,9253,9739
청림5길,74918,36588,38330,4396,14941,16035,12925,12949,13673
청림길,35890,16493,19397,2549,6386,7705,6248,6302,6699
청파로43길,85105,27467,57638,11289,42282,12659,8021,6340,4515
청파로45길,30761,14012,16749,2997,12209,6031,4096,2974,2454
청파로47길,264599,75248,189350,39596,137907,34513,22312,17387,12882
청파로49길,88901,30109,58792,11463,43042,13638,8645,6956,5157
청파로85길,16335,9532,6803,305,3541,4080,3714,3133,1562
청파로93길,33737,20078,13658,263,7079,8474,7972,6548,3402
청황길,3759,2546,1212,79,298,934,1082,873,492
초록마을로8길,86901,36797,50104,7856,17495,22657,16628,10640,11625
충정로4길,114677,60696,53981,3467,30543,32235,22824,15309,10299
충정로5길,8173,4447,3726,396,1995,2067,1841,1144,730
충정로6길,22607,12198,10409,794,4840,5834,5108,3723,2309
충정로9길,8601,4325,4276,208,1752,2381,2069,1361,830
탑골로2길,10338,5621,4716,585,1821,1831,1796,2430,1875
탑골로4길,7109,3735,3374,473,1154,1194,1250,1772,1265
토정로11길,19777,9851,9926,625,7898,5550,2561,1776,1367
토정로31길,18251,8801,9450,918,3100,4433,4259,3008,2532
토정로37길,42525,22659,19867,1684,8293,11383,9544,6907,4712
통일로12길,73790,35522,38267,4554,11925,12373,15861,13999,15077
통일로14길,28990,12898,16091,2831,3988,5673,5362,5376,5760
통일로25길,7579,3815,3764,281,1201,1347,1686,1641,1422
통일로37길,28952,13527,15425,1938,6072,5282,5252,5459,4948
통일로39가길,94962,43987,50975,6309,20809,15154,15950,18819,17922
통일로40길,30822,14358,16464,2072,6835,4816,5124,6190,5785
통일로63길,63119,30225,32894,2021,13546,10344,10941,14241,12025
통일로66길,10632,5157,5475,315,1993,2016,1987,2222,2100
통일로67길,164925,78307,86617,9634,38182,29750,27283,31653,28423
통일로68길,35323,16242,19081,1236,7694,6223,5930,7406,6834
통일로69길,35873,16234,19639,1160,6964,7371,7087,7185,6106
통일로71길,59558,24887,34672,3419,10761,11606,12069,11738,9965
통일로73길,27828,12305,15523,1783,5736,5437,4595,4794,5484
통일로77길,51082,24876,26206,5043,15533,9660,8130,6707,6009
통일로78길,62500,30146,32354,5002,16058,11259,9792,10512,9877
통일로83길,70924,32754,38170,10000,20428,12193,12398,8430,7476
통일로85길,48027,23242,24785,5479,11985,8721,8654,6836,6352
통일로87길,65112,32630,32482,5944,15481,12148,11182,10507,9850
통일로92길,135634,70759,64875,12805,24235,24238,22627,26195,25534
퇴계로10길,19729,9381,10347,256,3358,5404,4478,3328,2904
퇴계로20길,8786,3421,5365,1357,2321,1785,1416,1106,801
퇴계로28길,15227,9181,6045,636,3265,3820,3572,2447,1486
퇴계로32길,4731,2798,1932,259,1186,1077,998,706,504
퇴계로46길,90384,46464,43920,9882,35337,19011,11948,8572,5635
퇴계로4길,80786,39842,40944,974,13057,20646,17115,15401,13593
퇴계로53길,7990,4799,3192,48,2574,2411,1463,938,555
퇴계로56길,34800,19131,15669,788,9169,8659,6349,5492,4343
퇴계로74길,64626,33669,30957,2190,17562,16975,11590,9886,6423
퇴계로76길,148115,79040,69075,4576,40792,37926,28775,22879,13168
퇴계로83길,104449,56966,47483,1882,21341,19723,17772,22949,20782
퇴계로87길,204077,110773,93304,6182,41843,38372,34192,44705,38782
퇴계로88길,72410,39867,32543,4877,14572,14257,12144,14898,11663
퇴계로8길,138271,67510,70761,3214,23749,34967,29223,25452,21667
퇴계로90길,32817,17592,15225,2278,7302,7712,5226,5870,4429
팔판길,5925,2605,3320,125,1733,1401,1226,995,445
평창11길,9886,3778,6108,644,1174,1567,2186,2555,1761
평창길,9969,4204,5765,798,2008,1476,1979,2037,1672
포방터길,27515,14238,13277,2350,5148,3864,5540,5508,5106
풍성로25길,28876,14060,14816,735,5536,5244,4895,6506,5961
풍성로37가길,36669,17102,19567,787,6664,7527,6740,7847,7104
풍성로54길,26997,14054,12944,1979,5003,4747,5321,5624,4324
필운대로1길,19670,8732,10938,2425,4153,3706,4019,3087,2279
