상권코드명,총직장인구수,남성직장인구수,여성직장인구수,연령대10직장인구수,연령대20직장인구수,연령대30직장인구수,연령대40직장인구수,연령대50직장인구수,연령대60이상직장인구수
동산로19길,1570,656,914,2,148,484,561,270,105
동산로2길,125,83,42,0,23,30,32,23,17
동산로6길,1314,653,661,2,137,268,338,337,232
동소문로13가길,45,15,30,0,4,15,12,10,4
동소문로13길,99,48,51,0,36,26,15,9,13
동소문로13나길,474,293,181,3,86,80,97,101,107
동소문로23길,191,111,80,0,32,54,51,35,19
동소문로2길,1854,842,1012,2,182,271,337,624,438
동소문로5길,6,3,3,0,0,0,2,3,1
동소문로6길,2083,941,1142,2,229,318,392,675,467
동숭4나길,45,15,30,0,9,2,10,16,8
동숭길,991,693,298,2,137,303,231,227,91
동일로101길,227,100,127,0,19,50,61,75,22
동일로109길,309,141,168,1,31,58,83,95,41
동일로123길,169,78,91,1,17,28,55,33,35
동일로149길,818,489,329,1,67,105,130,136,379
동일로151길,127,77,50,0,15,31,33,38,10
동일로157길,308,186,122,2,44,80,83,69,30
동일로173가길,658,354,304,1,60,110,172,206,109
동일로178길,1469,791,678,3,194,279,326,390,277
동일로183길,733,448,285,11,96,118,154,208,146
동일로184길,71,42,29,0,10,18,23,15,5
동일로186길,699,527,172,0,44,86,133,168,268
동일로192길,363,219,144,2,36,40,82,111,92
동일로193길,131,73,58,2,20,15,33,33,28
동일로195길,233,112,121,1,22,45,61,73,31
동일로203가길,181,73,108,2,23,32,73,40,11
동일로207길,436,113,323,0,38,49,109,183,57
동일로208길,30,6,24,0,1,4,12,10,3
동일로217길,197,64,133,1,30,43,55,34,34
동일로231길,214,130,84,2,13,46,67,52,34
동일로239길,241,147,94,0,36,53,84,47,21
동일로241가길,49,28,21,0,6,11,20,10,2
동일로242가길,182,63,119,0,27,44,56,40,15
동일로242길,160,70,90,0,15,26,55,43,21
동일로242다길,92,27,65,0,11,21,33,20,7
동일로243길,122,56,66,2,16,33,35,30,6
동일로72길,162,89,73,1,18,52,42,33,16
동일로99길,254,110,144,0,26,62,59,76,31
동작대로7길,153,60,93,1,28,27,36,32,29
동호로11길,1190,643,547,12,359,356,247,143,73
동호로14길,2459,974,1485,49,1070,478,347,344,171
동호로15길,3560,1897,1663,167,1701,823,427,222,220
동호로25길,221,89,132,0,55,103,33,20,10
두산로13길,535,448,87,0,109,171,131,103,21
두산로5길,788,670,118,2,84,184,187,203,128
두텁바위로15길,5,4,1,0,0,0,0,1,4
두텁바위로58길,97,16,81,0,10,22,34,26,5
둘레15길,612,497,115,0,38,48,186,228,112
둘레길,952,705,247,1,86,130,283,310,142
등촌로39길,407,193,214,4,72,86,113,85,47
등촌로55길,390,254,136,0,41,71,56,100,122
등촌로5가길,186,78,108,3,29,39,51,44,20
디지털로27길,273,141,132,0,29,33,43,47,121
디지털로32길,16162,9510,6652,60,3772,6101,3913,1526,790
디지털로32나길,543,284,259,1,99,101,124,112,106
디지털로38길,779,296,483,4,89,205,341,109,31
디지털로54길,21,12,9,0,1,2,10,6,2
디지털로57길,51,22,29,0,14,9,12,9,7
뚝섬로27길,469,254,215,2,61,90,141,113,62
뚝섬로56길,95,41,54,0,8,26,27,21,13
마른내로12길,630,368,262,1,43,108,199,175,104
마방로4길,3923,2649,1274,26,735,1150,1116,573,323
마장로35길,541,330,211,2,66,120,166,151,36
마장로35나길,425,314,111,0,47,92,137,105,44
마장로9길,451,298,153,0,64,111,118,124,34
마천로51길,316,104,212,0,35,62,94,78,47
마천로57길,70,25,45,0,5,15,29,16,5
마천로7길,36,18,18,0,9,5,10,9,3
마포대로12길,171,52,119,0,40,50,44,26,11
마포대로14길,928,445,483,12,190,257,267,151,51
마포대로16길,132,70,62,0,30,33,28,25,16
마포대로4길,1780,959,821,1,220,431,438,467,223
만리재로24길,72,42,30,0,7,11,24,21,9
만리재로35길,90,55,35,0,17,17,24,18,14
만리재옛길,2407,1013,1394,22,699,698,577,277,134
망우로10길,33,24,9,1,1,11,8,4,8
망우로14길,76,31,45,0,20,17,18,16,5
망우로16길,140,48,92,3,24,29,36,27,21
망우로18다길,5,3,2,0,1,3,0,0,1
망우로32길,92,32,60,1,24,20,12,20,15
매봉길,46,24,22,1,12,10,8,10,5
면목로27길,147,68,79,0,16,31,48,34,18
면목로33길,207,105,102,0,14,34,59,68,32
면목로35길,44,18,26,0,12,6,13,8,5
면목로48길,150,66,84,0,21,40,42,35,12
면목로54길,144,67,77,0,12,36,42,39,15
면목로74길,83,29,54,0,13,10,27,26,7
면목로91길,141,51,90,0,29,28,35,28,21
면목로92길,462,139,323,1,24,62,268,96,11
면목천로23길,355,245,110,1,24,41,80,120,89
명동길,17931,8280,9651,17,2005,7870,5642,2136,261
명륜길,16,9,7,0,1,5,6,1,3
명지대길,260,212,48,1,10,23,49,90,87
목동남로4길,289,173,116,0,27,55,55,100,52
목동중앙남로10길,47,22,25,0,11,6,18,7,5
목동중앙남로13길,291,115,176,0,18,43,24,46,160
목동중앙남로4길,113,36,77,1,11,11,39,42,9
목동중앙본로7길,116,55,61,0,17,16,36,17,30
목동중앙북로7길,430,313,117,0,71,134,125,66,34
목동중앙북로8라길,498,181,317,2,21,29,64,113,269
목동중앙서로7길,154,61,93,0,15,18,40,36,45
무수막길,135,76,59,0,21,21,34,32,27
무학로14길,992,434,558,6,364,170,208,170,74
무학로30길,307,196,111,2,20,69,97,83,36
무학로43길,114,73,41,0,3,20,42,27,22
무학봉15길,84,35,49,2,18,18,23,13,10
무학봉길,172,78,94,3,23,32,52,37,25
문성로30길,14,8,6,0,3,2,4,5,0
미성길,121,61,60,0,10,19,38,33,21
바람드리길,309,135,174,4,23,67,86,80,49
바우뫼로37길,3081,2007,1074,8,450,907,673,520,523
바우뫼로39길,5727,3231,2496,21,852,1429,1394,1192,839
반포대로12길,264,181,83,2,28,54,68,40,72
반포대로19길,505,327,178,4,80,151,140,69,61
반포대로21길,414,272,142,0,66,120,120,53,55
반포대로22길,628,408,220,3,126,140,171,126,62
반포대로9길,2933,1714,1219,19,637,890,730,416,241
방배로15길,325,170,155,1,66,82,91,55,30
방배로23길,2777,1865,912,21,684,1111,670,191,100
방배로31길,2311,1511,800,5,332,565,527,454,428
방배로42길,258,98,160,0,58,60,61,38,41
방배로6길,486,345,141,0,58,134,153,92,49
방배천로4안길,636,430,206,1,51,112,139,185,148
방울내로7길,150,123,27,0,11,22,46,46,25
방학로6길,436,153,283,2,47,91,134,104,58
방화동로5길,250,126,124,3,42,66,74,40,25
백범로16길,126,55,71,2,15,22,44,24,19
백범로25길,162,75,87,0,30,29,47,36,20
백범로26길,416,196,220,111,202,56,23,13,11
백범로77길,368,216,152,8,53,97,100,58,52
백범로87길,523,330,193,8,130,143,118,91,33
백범로90다길,177,121,56,0,9,29,55,54,30
백범로90라길,269,164,105,0,25,57,65,78,44
백석동길,2127,1200,927,1,496,539,572,371,148
백제고분로12길,662,497,165,4,77,168,167,157,89
백제고분로18길,671,426,245,18,121,123,174,150,85
백제고분로19길,1156,770,386,4,185,325,263,183,196
백제고분로21길,513,306,207,0,67,116,107,97,126
백제고분로27길,796,453,343,0,103,186,248,165,94
백제고분로31길,1552,1294,258,3,75,155,230,183,906
백제고분로32길,3419,2001,1418,16,441,727,787,881,567
백제고분로34길,882,583,299,19,157,222,257,130,97
백제고분로39길,1425,747,678,8,283,336,333,279,186
백제고분로40길,1294,720,574,1,151,262,308,344,228
백제고분로41길,1810,1214,596,5,357,501,438,317,192
백제고분로42길,677,407,270,2,58,124,180,146,167
백제고분로45길,1048,707,341,2,151,271,256,230,138
백제고분로46길,570,355,215,0,63,81,130,122,174
백제고분로50길,1690,1073,617,10,291,481,463,262,183
범안로17길,699,513,186,3,46,76,165,252,157
법원단지5길,17,6,11,0,2,7,4,4,0
법원단지길,166,45,121,0,39,44,36,30,17
보국문로11길,156,67,89,1,18,26,56,44,11
보국문로16길,194,73,121,0,23,25,55,53,38
보국문로18길,140,46,94,0,12,18,34,44,32
보국문로8길,343,262,81,0,23,28,84,120,88
보라매로2길,332,209,123,0,27,40,63,68,134
보문로13다길,552,160,392,0,61,138,234,104,15
보문로19길,993,655,338,0,15,37,101,167,673
보문로23길,437,201,236,5,122,147,84,60,19
보문로29다길,31,15,16,0,5,7,11,1,7
보문로30가길,3002,1906,1096,4,290,828,914,698,268
보문로34길,96,48,48,0,29,21,17,14,15
보문로34나길,60,26,34,0,9,19,9,18,5
보문로37길,116,40,76,0,11,17,42,39,7
보문로3길,190,80,110,0,18,26,31,67,48
복은길,45,21,24,0,3,4,10,20,8
봉우재로14길,25,8,17,0,3,8,8,4,2
봉우재로28길,249,105,144,1,44,43,77,60,24
봉우재로33길,175,86,89,0,20,40,37,48,30
봉우재로70길,469,265,204,0,32,54,104,148,131
봉천로13길,50,14,36,0,4,10,16,15,5
봉천로23길,27,7,20,0,8,6,8,4,1
봉천로23나길,49,15,34,0,12,7,19,7,4
봉천로30길,66,42,24,0,25,16,7,8,10
봉천로31길,68,23,45,0,16,12,19,14,7
봉천로33길,80,52,28,1,3,10,18,11,37
봉천로6길,132,62,70,0,20,39,37,27,9
