상권코드명,유사업종점포수,평균영업개월수,당월매출금액,남성매출비율,여성매출비율,연령대10매출비율,연령대20매출비율,연령대30매출비율,연령대40매출비율,연령대50매출비율,연령대60이상매출비율,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액
장위로40길,1,17,2254206,41.9,58.1,0,29.1,19.4,19.4,29.1,3.1,632710,1364486,0,657009,259813,455140,438318,186916
장충단로8길,3,128,27203579,46.2,53.8,1.6,31.4,26.3,16,15.9,8.8,9441547,11329084,196296,6168924,5139840,4122223,3454794,1688553
장터2길,2,4,357143,33.3,66.7,16.7,16.7,33.3,0,33.3,0,79464,230357,56250,67857,33929,0,151786,0
장터3길,10,216,77243409,49.5,50.5,2.1,32.2,30.1,21.2,9.4,5,32096148,36973907,1237007,18804884,22276506,15368192,7653851,3729616
장터5길,5,143.5,14415844,51.3,48.7,2.1,35.6,28.7,17.5,9.6,6.5,7636189,6779655,271522,4028105,3528377,2505041,2636877,1445922
장터길,11,170.5,51157268,51.1,48.9,1.9,36.8,30.1,16.3,10,5,22269903,23483668,717507,14191829,14760766,7606514,5985790,2491168
장한로18길,2,61,17681470,34.9,65.1,0,17.3,39.8,36.2,3.8,2.9,5469847,10171601,0,2666119,6027961,5729167,783991,434211
장한로25길,3,106,26891282,39.5,60.5,1.6,21.3,39.3,24.2,9.6,4,9648417,13297313,281717,4426880,8893111,6008250,2371643,964131
장한로32길,4,265,77669356,45.6,54.4,1.2,20.9,33.4,33.2,8.1,3.2,15906462,19082279,299063,7147023,11169447,11054918,4118612,1199679
장한로5길,7,122,77262255,39.4,60.6,1.2,28.6,38.9,18.7,8.3,4.3,27919334,39995427,981636,17928613,27403647,11802421,6815914,2982528
전농로16길,6,82,17304656,39.5,60.5,9.8,16.8,32.9,27.1,10.5,2.9,6956615,10348041,1121970,2735798,5644533,5299300,2033373,469682
전농로17길,4,8,1928440,54.5,45.5,0,27.7,8.9,45.5,8.9,8.9,827523,628440,0,126606,61468,966972,34862,266055
전농로20길,4,46,12797826,38.8,61.2,12.7,29.8,21.4,18.4,13.6,4,4767060,8030766,1233890,3687542,2532953,2238834,2422515,682092
전농로27길,3,100,21252941,48.9,51.1,0.3,23.6,41.5,19.2,12.2,3.3,10579900,8745439,210407,3683036,7677318,3525420,3663328,565831
전농로29길,3,42,3251517,44,56,0,34.9,9.5,22.8,27,5.8,1905161,873879,0,275705,123401,1005967,1091855,282112
전농로37길,1,11,24159930,54.7,45.3,4.2,57.8,18.7,9.2,7.1,2.9,12888050,9862546,978397,12231212,4442687,2573218,1824677,700405
전농로3길,11,202,94698959,40.8,59.2,3.1,31.3,30.1,20.3,11.3,3.9,35296232,52538807,2467424,24884445,26753431,18577629,11015698,4136416
정릉로10길,1,63,6460976,51.1,48.9,9.4,60.5,4.2,18.8,2,5.2,3235425,3225551,399902,3667419,434462,1350288,102856,506049
정릉로26길,2,60,8596450,53.2,46.8,1.1,28.2,24.1,16.4,20.8,9.4,4150269,3443971,84828,1881855,1920783,1232114,1494718,979943
정릉로27길,3,97,21467396,39.8,60.2,7.6,39.2,19.9,20.3,9,3.9,7653481,12113201,1170125,5918999,3455864,4344686,3471206,1405801
정릉로31길,1,9,4700000,33.4,66.6,1,12.8,42.2,34.3,6.8,3,1430045,3269955,28519,450607,2073769,1760055,297417,89633
정릉로31나길,4,69,8808706,29.1,70.9,1,17.2,30.8,42.7,5.5,2.9,2164846,5458036,40424,992513,2454394,3494773,424707,216073
정릉로6길,1,22,12930980,29.7,70.3,7.1,75.2,5.3,4.8,7.4,0.2,3983568,8947412,821996,9384471,921878,818293,973319,11023
제기로20길,4,6,4262167,16.2,83.8,2.6,54.2,12,9.5,16.2,5.5,603065,3659102,81295,2033930,662189,495903,736834,252016
제기로2길,3,121,9438876,40.8,59.2,5.5,61.5,19.2,7.4,4.4,2,3047817,6391059,656875,5845390,1396866,940842,444327,154576
제기로38길,3,48,2722796,0,100,0,0,0,100,0,0,0,2722796,0,0,0,2722796,0,0
제기로5길,11,117.3333333,49656975,47.3,52.7,6.2,66.2,15,4.7,6.6,1.2,19275171,23692240,3896213,27501413,6101217,2045263,2801268,622039
조원로12길,3,138,17961942,50.2,49.8,0.3,24.8,36.3,20.8,11,6.8,7777090,7272843,51370,3337147,5067075,3353032,1939055,1302256
조원로13길,1,0,331664,51.2,48.8,0,35.7,11.9,45.2,7.1,0,134785,155404,0,60153,20738,167824,41475,0
조원로18길,3,46,15790977,40.2,59.8,1.2,34.5,31.8,19.9,8.4,4.2,5730827,8898496,135338,4724060,4674436,2910526,1593233,591729
조원로31길,2,2,739286,73.4,26.6,0,82.3,8.9,0,8.9,0,517857,221429,0,560714,57143,0,121429,0
조원로6길,3,33,3706718,43.7,56.3,0,32.3,33.3,14.9,16.2,3.2,1191703,1573120,0,649723,946501,454605,514745,199252
조원중앙로2길,6,199,38447064,50.8,49.2,0.1,31.3,31.7,19.5,12.7,4.7,18177670,15718474,51370,8946304,8753360,6974266,6024962,3145884
종로24길,8,76,12117930,64.2,35.8,0,18.3,24.9,18.9,19.8,18.1,6482116,2892114,0,1316231,1971769,1888937,2270761,1926533
종로26길,3,6,6537374,56.6,43.4,0,17.5,30.8,24.3,18.3,9.2,2868227,1831928,0,687527,1343991,1240789,1029094,398755
종로41길,1,40,3879095,76.9,23.1,0,7.5,30.7,53.1,1.8,6.9,2028712,601297,0,248935,788425,1390361,42017,160273
종로44길,1,22,17030459,40.1,59.9,0,29.9,33.2,21.4,8.3,7.1,6873056,8897941,0,5146519,5537350,3555427,1048440,483261
종로51가길,1,58,1591743,74.8,25.2,0,0,0,8.2,25.5,66.4,922018,302752,0,0,0,123853,302752,798165
종로57길,2,12,10702929,37,63,8.5,51.1,15.5,10.5,11.5,3,3570000,6137929,801429,4553643,1528571,1410714,1111429,302143
종로58가길,7,136,34144751,48,52,4.8,38.6,20.3,15,14.4,6.8,15641047,16631520,1471819,11162252,6277933,5998948,5054988,2306627
종로5길,6,197,75188353,61.7,38.3,0.7,22.6,36,27.8,10,2.8,35832293,20366570,338722,12042215,20519926,16558968,5161900,1577134
종로63길,1,10,2375693,53.9,46.1,0.9,24.1,22.8,18.7,20.9,12.5,1139663,1006343,19802,461501,531405,427346,382701,323252
종로65길,5,95,21067883,44.7,55.3,0.7,29.5,28.1,20.1,14.9,6.8,8275786,9967228,114075,4480338,4892859,4790247,2737858,1227639
종암로14길,2,3.5,390625,0,100,0,32.9,11.4,55.7,0,0,0,390625,0,85938,23438,281249,0,0
종암로19길,2,51,8126594,46.2,53.8,4.5,23.6,22.1,22.1,16.1,11.5,3444264,3947458,248173,1456475,1541451,1771509,1370114,1004001
종암로27길,7,234,52666311,43.6,56.4,3.1,25.9,30.5,25.5,12.1,2.9,20487728,27724638,1036554,8326360,17272412,14209681,5571573,1795787
종암로5길,4,28,34064893,38.9,61.1,4.2,33.4,25.6,20.9,12.4,3.5,11970249,18174881,995437,7481850,7452294,7832890,5191994,1190667
주흥13길,1,30,8208163,49.8,50.2,0,39.6,44.6,10.1,3.4,2.3,1409592,2003617,0,1434928,1449697,371352,114887,42345
주흥길,17,300.5,123871983,42.2,57.8,3,39.8,32.7,13.8,6.1,4.7,40622908,58184366,2275743,36346325,35220680,13151609,6720815,5092107
중계로18길,12,17,49825428,37.2,62.8,8.9,28.7,15.2,32.9,12.8,1.5,22812752,27012676,2860439,11890513,6526227,22254449,5749772,544028
중대로9길,15,383,131452935,51.2,48.8,1.1,23.7,34.4,20,14.7,6.2,51526840,41251213,961864,19538930,29044535,24364059,13224003,5644666
중랑역로13길,2,15,94787,37.5,62.5,0,37.5,20.8,20.8,20.8,0,26066,68721,0,26066,2370,14218,52133,0
중랑천로10길,6,80,42804095,47.2,52.8,2.8,33.7,29.3,18.5,11.6,4.1,18715733,21076724,968180,12464748,11681779,7638920,5225147,1813685
중랑천로12길,8,248,138505471,42.5,57.5,3.6,47.6,25.5,14.3,7,2,57743720,80761751,5260389,66175742,34825982,19239826,9815688,3187844
중림로5길,1,2,5724528,51.5,48.5,0,41.6,17.8,22.8,12.9,4.9,2907547,2250943,0,1347170,891509,1254717,1216038,449057
중앙1길,5,150.5,19068918,49.7,50.3,3.5,34.7,33.1,19.5,6.5,2.8,8174538,8385939,455771,5694599,5948950,2859208,1256099,345851
중앙길,2,4,1759877,40.6,59.4,0,62.3,29.8,5.3,2.6,0,599383,977778,0,821605,569753,101852,83951,0
중앙로1길,3,180,58187220,36.7,63.3,3.7,23.6,25.6,28.2,15.1,3.9,19453660,33526037,1368073,10530253,13938193,16116144,8403023,2624016
중앙로34길,12,425,109696053,42.5,57.5,2.8,29.7,26.3,23.4,11.8,6,43075762,55987350,1778568,24814788,25281157,24566128,14847952,7774526
중앙로45길,2,41,12866154,31.5,68.5,11.7,27.9,16.7,23.4,14,6.3,4380513,7668718,1673590,3571282,2051795,2821795,1362051,568718
중앙로46길,6,141,60610926,34,66,2.3,28.8,27.2,21.1,14.7,5.9,19073172,36978929,1008614,13212047,15897174,13368527,8670945,3894795
중앙로6길,10,166,88536979,54,46,10.4,54.5,14.5,11.5,6.8,2.3,42733183,39276642,7645928,38720719,13254510,11736691,7748529,2903450
증가로10길,22,416,260531671,39.5,60.5,12.4,57.4,12.1,9.2,7.6,1.3,101532106,158999565,27472663,144315247,34885078,28675556,20521775,4661352
증가로12나길,1,3,1849194,56.7,43.3,5.4,54.4,18.8,13.4,2.7,5.4,972581,876613,117742,947581,266935,393548,24194,99194
증가로20길,1,5,11597102,42.1,57.9,1.2,29.5,33.8,22,9.7,3.8,4683538,6913564,130406,3312330,3821617,2648665,1303885,380199
증가로24바길,1,14,1492001,46.1,53.9,0,25.7,19.7,37.2,7.8,9.6,620362,741690,0,255157,318808,510854,75449,201784
증가로25길,2,2,11527846,33.5,66.5,1.7,57.9,14.1,21.5,4.1,0.8,4410988,7116858,288428,5973625,2007180,1866117,1211243,181253
증가로29길,2,381,56560011,42,58,2.1,31.9,26.8,21.2,10.4,7.5,22592103,29915613,1039520,14968624,13936249,11657766,6460788,4444770
증가로8길,5,130,14675002,35.9,64.1,3.2,49.8,26.9,9.3,4.7,6.1,4635938,8428028,222354,5569929,3312219,2443759,589447,926256
증산로15길,4,19.5,9462998,35.1,64.9,1,35.6,30.6,10.8,15.2,6.8,3213374,6249624,61774,3149646,2609617,1332046,1578618,731297
증산로17길,2,63,10860057,33.2,66.8,0.6,13.4,36.1,37.3,7.9,4.7,3789372,7070685,44573,1465325,3552948,4321019,1000184,476008
증산로23길,4,34,7170712,43.5,56.5,0.6,30.5,28,18.9,16.5,5.5,2715650,4455062,28262,1747621,1928948,1571702,1221912,672267
증산로3길,3,75,25070407,59.6,40.4,1.2,14.2,27.2,21.8,23.9,11.6,16243258,6444804,2211756,2308512,5055793,7759143,3549552,1803307
증산로9길,2,85,15948631,58.4,41.6,0.7,25.2,42.4,19.6,9.8,2.2,6311943,4624033,57338,2622806,4276782,2409269,1282383,287398
증산서길,9,145,35930359,54.2,45.8,0.7,18.8,37,22.9,14.9,5.7,14125545,13249148,99325,4272675,8867954,7472560,4672166,1990015
지봉로17길,1,13,2942857,33.3,66.7,0,31.3,39.3,23.5,3.9,2.1,785714,2157143,0,1004762,1009524,747619,104762,76190
지양로3길,2,21,4077241,33.5,66.5,0,22.6,36.4,23.4,14.6,2.9,1080673,2996568,0,941009,1615132,739116,557276,224708
진흥로12길,3,32,11349248,40.9,59.1,1.3,25.7,34.1,26.1,9,3.9,4078916,6180820,172481,2467901,3536766,2460140,1112671,509777
진흥로1길,12,163,55977228,42.2,57.8,1.6,30,31.3,25.7,8,3.4,30697660,25279568,597973,12073695,14089618,23511766,4085777,1618399
진흥로7길,8,84,51489505,41.5,58.5,0.4,28,30.7,26.4,11.5,3,29100319,22389186,175566,9315428,11233699,22386960,6721356,1656496
창경궁로13길,5,64,6531448,51.3,48.7,1.9,28.3,19.6,12.1,21.8,16.3,2947013,2785021,84071,1435446,1114843,728893,1237593,1131189
창경궁로1길,2,8,52910,100,0,0,0,0,45.5,54.5,0,52910,0,0,0,0,26455,26455,0
창경궁로27길,9,135.6666667,64150361,49,51,7.8,66.7,10.3,6.6,6.8,1.7,33680866,30469495,7294900,33563636,4131962,8285070,9156006,1718787
창경궁로35길,9,90,53234585,48.9,51.1,8.9,49.4,12.8,13.5,11.2,4.2,21550642,27618643,2639898,20165180,8318511,8990248,6100971,2954478
창경궁로43길,8,158,53464985,35,65,2,40.5,25.6,14,12.7,5.3,16958808,32447955,713313,20766844,12269782,6415975,6506993,2733858
창덕궁1길,19,338.6,74029936,41.4,58.6,1.5,33.3,29.9,19.7,11.4,4.2,25618388,42105970,606713,19630963,23271385,14421311,7526187,2267802
창덕궁길,13,293,106855372,34.9,65.1,1.5,45.9,30.3,11.4,7.9,3.1,31832313,65092566,1007627,44296996,29919792,9993661,8863323,2843486
창신3길,1,29,4973571,54.2,45.8,0.7,52.1,23.6,16,6.9,0.7,2614286,2106429,22857,2052143,1051429,958571,612143,23571
창신6길,1,23,2903571,48.5,51.5,2.9,28.7,23.7,40.6,4,0,1078571,1567857,78571,689286,575000,1178571,125000,0
창신길,6,71,9698838,52.5,47.5,1.4,43.6,23.6,24.8,5.9,0.7,4688385,4500454,101428,3705858,2098824,2377790,842557,62381
창의문로11길,3,10,5344170,45,55,1.9,35.9,26.4,16.5,9.4,10,2295743,2405762,71371,1736076,1115323,815403,394348,568984
