상권코드명,총상주인구수,남성상주인구수,여성상주인구수,연령대10상주인구수,연령대20상주인구수,연령대30상주인구수,연령대40상주인구수,연령대50상주인구수,연령대60이상상주인구수
봉천로33길,1052,530,522,134,192,220,160,121,225
봉천로6길,3353,1690,1663,248,831,788,437,392,657
봉화산로30길,5307,2669,2638,733,825,906,758,951,1134
봉화산로4길,3804,1987,1817,389,508,569,607,768,963
봉화산로56길,2920,1450,1470,514,421,435,465,509,576
부일로15길,690,343,347,108,90,101,124,95,172
북아현로12길,1172,586,586,145,165,146,181,211,324
북아현로14길,1436,701,735,191,221,183,224,238,379
북촌로5가길,490,219,271,69,66,54,66,81,154
북촌로5나길,968,470,498,143,140,138,155,158,234
북촌로6길,263,119,144,38,29,36,48,45,67
불광로18길,830,403,427,117,96,91,127,154,245
불광로2길,1852,906,946,204,169,206,338,345,590
사가정로27길,1464,728,736,218,228,214,190,299,315
사가정로51길,2842,1417,1425,300,358,484,490,484,726
사근동11길,2088,1113,975,272,435,275,316,280,510
사근동8가길,1041,576,465,110,394,131,111,107,188
사근동8길,617,340,277,65,227,63,70,69,123
사근동길,2482,1305,1177,301,749,342,295,308,487
사당로14가길,438,211,227,60,70,79,62,64,103
사당로16길,3519,1701,1818,397,496,614,552,566,894
사당로17길,1847,893,954,240,309,359,231,269,439
사임당로12길,681,339,342,97,117,166,123,68,110
사임당로1길,493,245,248,62,83,93,72,59,124
사직로12길,123,58,65,10,9,14,17,24,49
사직로8길,172,93,79,27,26,20,33,38,28
사평대로22길,2101,988,1113,423,264,308,373,315,418
사평대로28길,1134,514,620,182,159,170,194,179,250
사평대로2길,1396,647,749,221,171,183,273,205,343
사평대로57길,407,172,235,39,88,115,62,39,64
살곶이8길,686,392,294,63,332,78,53,54,106
삼각산로22길,527,246,281,83,92,64,91,96,101
삼선교로10길,2004,956,1048,253,371,334,277,315,454
삼선교로14길,3807,1861,1946,496,703,568,575,588,877
삼선교로23길,2027,968,1059,222,449,303,319,303,431
삼선교로4길,2099,1071,1028,228,327,281,336,361,566
삼성로100길,272,133,139,22,40,59,43,37,71
삼성로146길,113,47,66,12,32,22,16,10,21
삼성로64길,1946,975,971,421,330,172,427,335,261
