상권코드명,상권코드,기준년월코드,서비스업종코드.x,서비스업종코드명.x,평균영업개월수,X1년이하생존율,X1.2년생존율,X2.3년생존율,X3.5년생존율,X5년이상생존율,당월매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,점포수.x,총상주인구수,남성상주인구수,여성상주인구수,연령대10상주인구수,연령대20상주인구수,연령대30상주인구수,연령대40상주인구수,연령대50상주인구수,연령대60이상상주인구수,서비스업종코드.y,서비스업종코드명.y,점포수.y,유사업종점포수,총직장인구수,남성직장인구수,여성직장인구수,연령대10직장인구수,연령대20직장인구수,연령대30직장인구수,연령대40직장인구수,연령대50직장인구수,연령대60이상직장인구수,총유동인구수,남성유동인구수,여성유동인구수,연령대10유동인구수,연령대20유동인구수,연령대30유동인구수,연령대40유동인구수,연령대50유동인구수,연령대60이상유동인구수,구
경인로47다길,64,201803,CS100009,커피음료,12,0,0,0,0,0,11821350,5372960,6448390,533730,3133185,3815642,2852838,1241878,244077,1,1088,565,523,147,161,127,180,186,287,CS100009,커피음료,0,1,98,62,36,0,7,22,27,22,20,14440,7748,6692,2346,3388,2032,2083,2454,2138,구로구
경인로59길,65,201803,CS100009,커피음료,139,0,0,0,0,0,9011206.4,3270506.2,4806098.4,91080.6,1661238.2,2419534.6,2266849.6,981121.2,656780.8,5,561,276,285,73,100,116,107,68,97,CS100009,커피음료,1,4,154,49,105,0,27,43,43,26,15,36369,16718,19651,2547,6476,8586,7332,6126,5303,구로구
경희대로1길,69,201803,CS100009,커피음료,26,0,0,0,0,0,26432602,9788780,16643822,1561993,18248048,3831462.5,904479,1588423.5,298196,2,322,162,160,25,129,52,28,29,59,CS100009,커피음료,2,2,24,11,13,3,6,2,3,8,2,47001,21936,25065,6954,26655,4934,3488,2985,1986,동대문구
경희대로3길,70,201803,CS100009,커피음료,12,0,0,0,0,0,10953030,4869533,6083497,537852,7382545,2222816,430737,142060,237020,1,660,333,327,55,254,118,71,55,107,CS100009,커피음료,1,1,45,17,28,0,10,6,6,20,3,28147,12624,15523,2893,11701,3853,3416,3234,3049,동대문구
경희대로4길,71,201803,CS100009,커피음료,88,100,0,0,0,0,18806228.5,8516925.667,10289302.83,2110267.833,12222161.83,1667663.5,1255023.833,1372160,178951.5,6,628,288,340,65,194,97,76,79,117,CS100009,커피음료,7,10,25,11,14,0,0,11,8,4,2,140841,64724,76117,21749,80692,13878,9766,8415,6340,동대문구
경희대로4길,71,201803,CS100009,커피음료,88,100,0,0,0,0,18806228.5,8516925.667,10289302.83,2110267.833,12222161.83,1667663.5,1255023.833,1372160,178951.5,6,628,288,340,65,194,97,76,79,117,CS100009,커피음료,7,10,25,11,14,0,0,11,8,4,2,140841,64724,76117,21749,80692,13878,9766,8415,6340,동대문구
경희대로6길,72,201803,CS100009,커피음료,61,0,0,0,0,0,16976708.17,7550618.667,9426089.5,2167446.833,10104200.33,1724334.167,1412065,1319372.833,249289,6,399,195,204,44,107,70,64,39,75,CS100009,커피음료,5,8,76,25,51,1,20,17,17,14,7,313908,135231,178677,62844,159814,29863,23097,20090,18201,동대문구
고덕로10길,73,201803,CS100009,커피음료,84,0,0,0,0,0,5880118,1901306.333,3978811.667,103775,1589106.667,2012879.333,1434539.667,505651.6667,234165.6667,3,1408,680,728,234,201,267,236,225,245,CS100009,커피음료,3,3,48,11,37,0,10,12,16,6,4,24019,12446,11573,1440,4079,5614,4764,4737,3385,강동구
고산자로14길,74,201803,CS100009,커피음료,154,0,0,0,0,0,124133132,55111802.5,57252939.5,3870588,31964785,27488197.5,21682123,17004819.5,10354228.5,2,330,145,185,20,116,91,41,30,32,CS100009,커피음료,1,1,139,68,71,2,12,27,42,31,25,72709,33207,39502,3726,25311,15384,11426,10593,6268,성동구
고산자로16길,75,201803,CS100009,커피음료,40,0,0,0,0,0,7653846,2096154,2662088,0,868132,1403846,1247253,956044,282967,1,58,33,25,3,3,7,8,13,24,CS100009,커피음료,1,1,94,46,48,2,9,22,33,19,9,15441,7819,7622,697,5525,3023,2345,2415,1437,성동구
고산자로2길,76,201803,CS100009,커피음료,52,100,100,100,100,100,23990210,9725524.5,11558391.5,129370.5,2792657.5,6195804,6980769,3585664.5,1599650.5,2,684,325,359,158,58,131,161,74,102,CS100009,커피음료,2,2,84,30,54,0,12,10,28,17,17,2498,1160,1338,118,531,702,593,270,283,성동구
고산자로2길,76,201803,CS100009,커피음료,52,100,100,100,100,100,23990210,9725524.5,11558391.5,129370.5,2792657.5,6195804,6980769,3585664.5,1599650.5,2,684,325,359,158,58,131,161,74,102,CS100009,커피음료,2,2,84,30,54,0,12,10,28,17,17,2498,1160,1338,118,531,702,593,270,283,성동구
고산자로31길,77,201803,CS100009,커피음료,46,0,0,0,0,0,24036469,10501043,11994460,428932,9044510,6608872,3164999,2147923,1100266,1,205,123,82,7,35,13,28,40,82,CS100009,커피음료,1,2,15,8,7,0,0,3,3,4,5,14275,6824,7450,1359,4368,2761,2024,1972,1792,동대문구
