profit,livingPeople,numberStore,workingPeople,movingPeople,rent,gu,region
3313315,4856,3,138,138166,21.06666667,강서구,기타지역
26271260.33,1121,4,618,70267,21.06666667,강서구,기타지역
12280818,1305,2,929,26812,21.06666667,강서구,기타지역
7639238,8273,9,199,86901,21.06666667,강서구,기타지역
14291661.75,728,7,176,29533,21.06666667,강서구,기타지역
11912944.86,3309,8,407,49330,21.06666667,강서구,기타지역
14221206.67,2023,3,390,18711,21.06666667,강서구,기타지역
2236184,2345,1,40,16029,21.06666667,강서구,기타지역
4072751.75,1150,7,112,29147,21.06666667,강서구,기타지역
7073289.6,2583,14,211,38195,21.06666667,강서구,기타지역
3000000,4929,2,31,35906,21.06666667,강서구,기타지역
3569471.333,7462,5,117,54532,21.06666667,강서구,기타지역
3569471.333,7462,5,117,54532,21.06666667,강서구,기타지역
5421186,1181,3,44,31923,21.06666667,강서구,기타지역
4832669.667,563,3,128,35902,21.06666667,강서구,기타지역
13323781.36,2935,14,256,73188,21.06666667,강서구,기타지역
4205970.667,3681,3,154,36541,21.06666667,강서구,기타지역
3698907.667,1194,4,310,41985,21.06666667,강서구,기타지역
25549974.33,1121,4,618,74044,21.06666667,강서구,기타지역
10381196.6,1305,2,929,28970,21.06666667,강서구,기타지역
6780807.833,991,5,631,25005,21.06666667,강서구,기타지역
8247187.3,3582,13,5349,54092,21.06666667,강서구,기타지역
4376083,3681,3,154,34818,21.06666667,강서구,기타지역
13362614.55,2935,11,256,86432,21.06666667,강서구,기타지역
12287484.14,3309,9,407,40649,21.06666667,강서구,기타지역
14381106,728,9,176,28523,21.06666667,강서구,기타지역
3461782,7462,4,117,56172,21.06666667,강서구,기타지역
6169775,3636,4,186,24120,21.06666667,강서구,기타지역
9349199,224,3,3220,5239,21.06666667,강서구,기타지역
11395232.5,3332,6,290,64827,21.06666667,강서구,기타지역
9962138,2001,1,49,20204,21.06666667,강서구,기타지역
6395839.75,5681,11,319,66944,21.06666667,강서구,기타지역
7790678,1181,3,44,34179,21.06666667,강서구,기타지역
13922161.67,3332,6,290,74085,21.06666667,강서구,기타지역
5255508.333,1194,5,310,38211,21.06666667,강서구,기타지역
7222338.833,991,5,631,38477,21.06666667,강서구,기타지역
8968782.75,224,5,3220,5004,21.06666667,강서구,기타지역
13362614.55,2935,11,256,86432,21.06666667,강서구,기타지역
13323781.36,2935,14,256,73188,21.06666667,강서구,기타지역
